사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-11,3호선,82,교대(법원.검찰청),26,0,1149,459,2886,5987,7426,18531,11251,47416,8737,34909,10172,15453,13071,10155,14233,10063,17372,10606,19830,9836,22413,9340,25210,9667,40662,12217,64246,16483,26854,9052,21213,4452,23475,3549,19115,2796,4845,2075,1,49,0,0,0,0,0,0
2020-11,3호선,83,남부터미널(예술의전당),43,1,2549,1190,7631,23339,23750,56821,38385,151866,30879,81138,27423,45574,30782,33369,33817,35454,37557,38646,38363,39683,42955,39055,52283,41594,85118,45608,133177,56402,63876,37215,43813,21845,38616,16910,25237,12024,6930,7318,1,101,0,0,0,0,0,0
2020-11,3호선,84,양재(서초구청),101,2,4948,2282,12440,36956,30333,97527,42680,235263,28978,126619,26213,55290,29150,42632,34450,39460,39760,45062,42155,39313,50804,39202,63236,41366,114470,52184,197646,71085,94401,47951,61363,28242,56173,24553,34553,18477,8607,10970,5,1179,1,0,2,1,1,0
2020-11,3호선,85,매봉,10,0,1410,601,5746,8046,14477,19820,17606,69957,12465,35557,9823,13361,9994,11899,11062,11013,12147,10827,14173,10091,16005,11175,18484,11207,32132,15713,63043,20911,23086,14128,14422,7955,15514,7441,9028,5894,2146,3729,6,494,0,0,0,0,0,0
2020-11,3호선,86,도곡,22,8,1000,342,3141,4140,8145,12981,10499,20660,6410,15496,4829,7305,5656,6201,5880,6155,6290,6574,6994,5804,8953,6218,11194,5976,16077,7927,17713,9844,9122,8198,5759,4477,5081,4070,3670,3489,922,1960,4,1387,0,0,0,0,0,0
2020-11,3호선,87,대치,14,1,2381,747,10047,7487,23457,16278,22775,24782,12732,16366,9989,12079,9929,11000,12616,13857,13594,17045,12595,15153,15317,18016,16772,19747,24680,25453,25865,28387,16847,20867,12697,11190,15911,10165,25945,9179,2721,4785,3,31,0,0,0,0,0,0
2020-11,3호선,88,학여울,2,0,412,264,1573,1776,3446,3286,4255,7383,2654,5600,2059,3741,2442,3203,3260,3139,3122,3410,3301,3601,4630,3344,5102,2785,6619,3221,6612,4430,2858,3421,1719,1982,1792,1713,1431,1441,240,968,0,10,0,0,0,0,0,0
2020-11,3호선,89,대청,47,0,3214,1055,9288,7209,24991,13307,29988,24681,15763,11402,11656,7752,11153,7158,11403,8251,12119,9119,12431,9416,16620,12547,16555,12931,20896,16855,25410,24512,10600,20485,7096,12785,5813,11947,4249,11458,1130,6149,0,112,0,0,0,0,0,0
2020-11,3호선,90,일원,2,1,1855,1515,7247,7917,20594,25758,20816,23805,13524,16751,13261,14780,14110,10273,14293,11921,13113,13673,13854,11300,18432,11557,21785,9665,29472,12440,15444,18473,8470,14795,5802,9386,3900,9140,3061,8805,897,3947,0,90,0,0,0,0,0,0
2020-11,3호선,91,수서,214,12,4379,1813,10908,14104,31460,30378,41714,49852,25866,29688,25005,20282,19656,16101,24995,20532,24007,19802,18828,20855,29015,23339,31519,26490,38488,32669,49624,46394,22810,34109,20299,22501,14230,18024,11649,16702,4003,7171,1,817,0,0,0,0,0,0
2020-11,3호선,92,가락시장,21,0,2310,664,6245,4952,18116,10434,21616,27149,14363,15300,12108,11096,11880,10726,12154,11073,12701,11756,13191,12542,13878,14148,14989,14798,19381,16978,27047,23281,12274,17365,9075,10718,8413,9216,5643,7819,1543,4303,8,1101,1,0,0,1,0,0
2020-11,3호선,93,경찰병원,9,0,2380,153,6481,2803,19880,8341,24732,29977,14298,14030,10036,8253,8925,6027,8898,7496,9482,8552,8914,8018,9382,8003,9567,8762,15146,12741,20655,19742,6966,16764,5224,9952,5300,8151,2841,7069,571,3707,0,857,3,1,0,0,0,0
2020-11,3호선,94,오금,5,0,3208,3,6582,1918,23600,5185,28529,13555,14434,5514,8024,4334,7028,3705,7421,4724,7407,5270,6141,5164,6017,7411,7352,8677,9592,11893,11535,19744,4686,15057,3392,9272,2999,8790,1962,8536,435,4424,4,1333,1,1,0,0,0,0
2020-11,4호선,100,수유(강북구청),81,5,19406,3326,41986,11031,108507,18466,125126,53298,72382,37071,48194,27719,43192,27624,45337,31567,44743,35588,42610,39518,42150,47141,45507,57885,52131,74683,57717,119721,34084,106215,26144,63971,23510,58365,18141,45949,8071,29631,0,133,0,0,0,0,0,0
2020-11,4호선,101,미아(서울사이버대학),40,5,9579,1637,18963,4972,46972,14265,53794,30244,30997,17008,21986,13816,19749,14559,20373,14916,20254,16825,21097,18096,22395,22796,22324,25632,23372,31013,25383,47299,15146,38609,10619,23075,8968,21424,6174,17421,2177,10746,5,6,0,0,1,0,0,0
2020-11,4호선,102,미아사거리,51,4,14150,2032,34192,7833,92483,17762,105122,33287,58257,30824,38093,25080,34699,25543,35607,28856,36766,31127,35059,34863,37405,42939,41993,50018,40690,64671,42136,104710,29950,82423,29793,46334,18319,41229,12688,32925,5586,18360,2,3,0,0,0,0,0,0
2020-11,4호선,103,길음,9,1,9022,2099,26289,8900,77340,12172,86471,26910,43803,19832,27378,16052,23273,16753,25091,18416,24676,22223,22312,21734,23553,26498,25755,32606,31536,45781,29041,73737,17371,59750,13223,34417,10940,31233,9282,26982,2951,15855,1,0,0,1,0,0,0,0
2020-11,4호선,104,성신여대입구(돈암),38,1,5012,1703,15686,5978,42514,15069,54296,32835,33358,24695,22752,19805,22994,20556,26303,23272,27454,25582,27227,27640,28995,29258,33354,32736,38679,44286,43691,63664,27957,50861,25576,29133,26854,26311,22474,22480,8277,14623,0,1,0,0,0,0,1,0
2020-11,4호선,105,한성대입구(삼선교),70,9,6160,1126,11259,6168,29350,17070,36556,30712,24216,22847,16394,16688,17102,15616,19250,17136,20203,18983,20251,17636,22318,18396,28383,21178,30816,27845,31689,36714,16347,29872,13101,17674,12283,16062,9160,14624,3467,11182,6,3863,1,2,0,1,0,0
2020-11,4호선,106,혜화,37,0,3137,2582,6472,19436,16167,44378,20400,113541,21977,78633,27008,52061,31305,45754,32700,52877,35500,67784,43455,62922,57459,47648,71304,45898,94789,54715,114159,65169,60837,47782,56323,17924,70977,16761,62711,13583,19636,9445,5,432,2,0,2,0,1,0
2020-11,4호선,107,동대문,239,4,5861,2535,3641,12549,5002,34611,6978,75270,11150,65772,16104,49835,22391,43647,27756,35036,29985,34058,38066,33376,44590,27639,54228,20950,84021,15071,66675,11642,29081,15076,20052,10734,21141,6186,10733,4512,4488,5710,6,109,0,0,4,2,0,0
2020-11,4호선,108,동대문역사문화공원(DDP),313,3,7451,1333,4085,10766,6106,24081,7915,66751,6915,36707,7489,23080,11028,21527,14092,19516,15925,20582,20563,19785,25293,17152,30960,15659,48463,16138,69724,17720,37093,25269,26477,11907,24713,7381,17688,5010,7277,4948,5,405,2,0,4,1,1,0
2020-11,4호선,109,충무로,63,3,2914,2727,3759,16935,7184,50419,11643,171851,11825,96690,12478,46279,16445,36255,20954,32971,26150,33315,32163,29910,36414,25326,47803,24741,82218,28014,139263,31782,66905,18539,45963,9267,44456,8701,31236,6679,12864,5391,10,590,2,1,1,3,0,0
2020-11,4호선,110,명동,25,0,660,735,1757,12485,3122,39261,5165,100038,6016,62946,7502,34298,12039,32021,17358,32033,21655,32165,25993,27732,33715,27179,43525,23988,58928,24107,99726,22463,47709,12548,37936,5645,33249,3925,16690,2432,4061,1454,4,149,0,1,0,0,0,0
2020-11,4호선,111,회현(남대문시장),36,1,1772,766,3048,16442,4610,43719,6636,123350,8224,92110,11335,63572,19066,50818,26216,42264,32890,37529,40157,34062,49419,28818,65055,21499,86347,15738,111576,13448,42100,6912,39630,4102,17113,4571,8684,3666,2701,1915,2,226,3,0,0,0,0,0
2020-11,4호선,112,서울역,159,0,3786,511,4830,9965,10982,29959,14462,80840,10237,40729,8327,19330,9661,16863,10851,19431,11271,19234,11071,19502,13315,21244,15400,22559,35621,26941,60533,27997,19737,20682,12607,13216,11791,11832,7581,9609,2685,5875,4,1304,1,0,2,0,0,0
2020-11,4호선,113,숙대입구(갈월),8,0,2910,837,7041,6081,15984,20300,24196,49855,16015,28539,12579,15224,13520,13974,15437,14373,16197,15074,16594,15932,18763,15895,23695,17695,32386,23190,47189,31678,22460,21265,16926,12472,16880,12350,12986,9889,5132,6271,2,2,0,0,1,0,0,0
2020-11,4호선,114,삼각지,4,1,589,301,1745,4098,4802,9762,7255,24689,4733,9943,3162,6163,3622,5474,4515,5831,4944,5791,5219,5650,5786,5789,7251,6136,12013,8754,21842,11761,8091,7772,6083,4326,6254,3875,4260,3129,1949,2269,3,297,0,0,0,0,0,0
2020-11,4호선,115,신용산,4,0,989,875,3842,12157,9963,31097,15365,92589,11816,58447,9847,23025,12463,17099,13147,16995,15458,18165,15686,17448,20111,17901,27958,18379,50214,22242,85644,27930,38242,17954,25339,9911,22365,8055,14087,5582,4918,2987,1,1,2,2,1,0,0,0
2020-11,4호선,116,이촌(국립중앙박물관),53,8,1139,623,3996,6683,11841,13555,16892,27070,11212,13747,7628,9520,7871,8835,9197,10352,9587,11495,9732,10753,11862,10927,16668,11535,20011,13675,22546,19857,9339,14017,6826,8157,7066,7056,3822,5991,1351,3507,2,77,1,0,1,0,0,0
2020-11,4호선,117,동작(현충원),37,1,464,160,1276,2493,4439,3839,6086,6221,4078,4003,3375,3188,3557,2863,3283,3030,3557,3833,3871,4184,4675,4381,5127,4433,6152,5150,6327,6716,2892,4501,2193,3036,2216,2691,1424,2121,401,1559,7,512,0,0,0,0,1,0
2020-11,4호선,118,총신대입구(이수),111,7,6095,1025,14705,11633,44028,16843,58491,39689,33800,32061,23978,22333,23085,20647,25408,23364,25762,26056,25153,28243,26782,31684,29494,37016,33547,48661,40946,72748,23692,48455,20985,25498,18130,23508,14181,19034,5462,10337,8,1270,1,0,2,0,1,0
2020-11,4호선,119,사당,100,2,10039,1042,21862,15965,61139,20272,85727,32900,58334,25349,35652,19735,29829,22248,31039,23664,32275,23785,29968,23665,29131,28036,31153,36442,38504,52595,45070,80738,30395,57503,27073,30993,29374,28313,25122,24808,8926,16522,14,3261,1,0,2,0,1,0
2020-11,4호선,120,남태령,29,0,422,87,840,1162,2143,3220,2756,4050,2402,1616,1625,1118,1612,1037,1632,1233,1903,1137,1828,1225,1664,1293,2399,1260,3446,1611,3275,1732,1471,1491,901,969,628,851,279,665,72,390,1,43,0,0,0,0,0,0
2020-11,4호선,95,당고개,67,0,7842,22,18161,6003,50285,8022,50376,12730,29783,11440,18901,11489,16998,10529,17108,11873,17267,12410,16654,13580,15378,16786,15870,19742,15957,24303,15102,36433,11292,34866,6427,22616,5475,20371,3667,16603,960,11930,2,794,0,0,1,0,0,0
2020-11,4호선,96,상계,46,1,12547,237,32889,6772,84853,13778,77962,18942,39762,15185,26411,14185,23852,13861,25457,17647,24130,18563,21261,19754,21485,23627,23348,29349,22951,39546,22006,62712,13967,60972,10883,35275,10156,31104,10119,26319,2393,18716,5,211,0,0,0,0,0,0
2020-11,4호선,97,노원,148,6,11166,467,21903,7218,51985,14050,55690,28121,30614,29810,23519,22235,22463,19781,25001,23346,25483,26624,24557,28280,25446,31053,28778,36701,30288,48197,32130,75561,22945,64179,24598,35251,22398,30785,19701,25078,6482,17789,8,2941,2,2,0,0,0,0
2020-11,4호선,98,창동,1573,14,15744,2615,34523,12086,90345,18192,80902,38307,49353,27247,36201,25277,33582,26319,35831,30152,35612,35688,34099,40217,35848,42854,39945,50386,42461,59260,41602,90981,23950,80531,18986,46500,17536,41249,13104,33917,5373,21117,251,3634,0,0,0,0,0,0
2020-11,4호선,99,쌍문,110,13,22031,1124,48532,9700,119351,14035,131162,28077,72734,19704,46457,17893,37994,18231,38393,22934,36107,24631,32049,29056,30567,36914,33764,45428,34723,62000,34201,99426,21523,96755,15170,56983,13129,50279,9218,42720,3863,26132,3,538,0,1,1,0,1,0
2020-11,경부선,121,서울역,3,1,25,201,33,1619,6849,2860,15261,3666,8948,2500,7816,1856,8221,1155,8659,1484,8592,1575,4988,1714,10984,1909,11552,2412,12139,4028,12811,5514,12122,2932,7897,1682,8509,1223,6225,977,2221,255,16,8,0,0,0,0,0,0
2020-11,경부선,122,남영,91,4,2221,1065,3813,8462,10878,19950,16054,54357,10016,29317,8140,11016,8566,9594,10231,9812,10922,10717,11616,10265,15365,10248,18678,11151,25660,15031,45968,20910,17378,14016,12102,8539,11573,7866,8292,7069,3285,4256,13,220,0,0,0,0,0,0
2020-11,경부선,123,용산,325,14,3783,4958,4633,32236,19272,64442,27118,136830,28027,88430,21797,62592,33861,45973,32553,50607,41991,51081,40571,49875,60159,49060,70522,49479,99924,51692,142244,65275,79922,41238,70178,25282,65934,19541,39613,11766,13264,4540,379,1127,0,1,0,0,0,0
2020-11,경부선,124,노량진,394,4,4855,1632,6286,5418,16490,11775,23132,19971,13499,11975,9713,9384,10139,9363,11347,10675,13526,11998,12121,10671,12627,12572,14642,15099,18276,23453,21530,38945,12946,22933,13821,12559,15706,11496,14138,8940,5006,6245,72,488,0,0,0,0,0,0
2020-11,경부선,125,대방,491,2,5527,2514,10226,10150,28359,35362,38076,51450,21044,23556,14948,12074,13923,10238,15126,11702,15426,13891,14753,12334,17108,13943,18743,16318,31347,23649,46239,37849,17606,24925,12270,16253,12101,15595,8173,12757,2142,7588,17,744,0,0,0,0,0,0
2020-11,경부선,126,영등포,4324,70,17114,5816,15473,21248,35915,55795,52297,117683,35572,84485,29660,63793,36335,60240,43692,62828,48646,70322,54866,66283,64355,67292,77214,69070,99337,81727,143474,108176,83510,69671,84949,34877,69079,27796,48586,22153,18456,11673,101,2344,1,1,4,0,0,0
2020-11,경부선,127,신도림,570,3,2157,682,3298,2125,9510,6778,11858,16004,6616,6961,4344,4836,4164,4134,4663,4477,4686,4825,4475,4504,4695,5342,5475,5896,9094,8772,14797,12613,6089,8479,4413,4472,4469,4652,3073,3449,1124,2047,30,1574,0,0,0,0,0,0
2020-11,경부선,151,신길,715,2,10434,2109,10104,5540,23034,15814,30649,30155,17491,10473,10742,6301,9578,6207,11169,6906,10516,7679,9390,7594,10809,9216,14019,10463,18716,16552,30952,22496,11489,16089,7128,10462,7240,11257,4253,9075,1753,5472,17,725,1,0,0,0,0,0
2020-11,경부선,249,구로,12208,25,23431,5158,18637,11863,34637,31172,36914,78321,23701,42544,18087,25451,18442,21044,20840,21925,21648,22780,21846,21442,24673,23580,30219,25955,48561,37640,65739,43800,28717,31017,19663,19080,18812,19710,12384,14534,4349,11773,39,9150,1,6,2,0,1,0
2020-11,경부선,250,가산디지털단지,1381,5,8123,2295,6822,11261,14192,47856,14083,149965,10182,74873,8628,23193,9769,14500,11289,14761,12021,16155,12884,15581,14828,14957,21576,17480,57968,22199,110853,27278,44761,19541,27058,11635,22595,11189,12993,9307,4576,5280,112,1160,3,0,5,0,0,0
2020-11,경부선,251,금천구청,690,6,10805,1465,17413,5052,44764,14067,43959,28647,23431,10749,15626,8772,14083,8090,14030,11197,13266,11806,12343,11953,12532,15278,13902,18226,16528,25581,23699,43391,10801,32886,7948,17089,6605,17226,4623,13441,1615,8591,51,877,2,0,0,0,0,0
2020-11,경부선,252,석수,399,1,7480,2830,15356,5945,37510,11699,39397,17236,20763,11015,12706,8876,11845,6595,11650,7156,11164,8137,10537,8118,12115,9987,13529,12390,17599,17980,18513,31441,9829,27802,6750,14775,5588,15844,3503,12517,1226,6775,33,839,1,0,5,0,0,0
2020-11,경부선,253,관악,235,2,7242,1951,11154,3927,30914,4959,29997,9497,14817,8779,9423,8558,8305,5819,9107,6873,8728,6829,8934,6614,8827,7977,10944,9575,11938,14066,10197,24856,5984,21619,4224,11913,3804,11533,2280,9338,782,5895,46,973,1,0,0,0,2,0
2020-11,경부선,254,안양,286,5,14182,3411,28973,12066,75351,15089,69413,39290,37807,42484,25409,25377,25215,24722,31760,30260,31341,34858,28524,29778,33207,31540,43168,35265,47235,51881,39339,79927,24597,66346,22548,36324,24530,29538,18273,22677,6973,16245,415,2551,4,1,4,0,3,0
2020-11,경부선,255,명학,143,1,6339,2584,8803,10200,23629,21906,21673,52771,11219,12370,7626,7558,8035,6544,8832,6874,8502,7839,8310,7200,9248,7591,13048,8875,25303,11439,34804,18332,11615,16678,11094,9588,8342,8991,4868,6861,1622,5207,51,997,3,0,1,0,2,0
2020-11,경부선,256,금정,267,2,22197,6750,31870,20957,74926,37926,79782,85992,45703,29099,28760,18732,27029,19129,28488,21397,27333,23811,25014,24705,26281,28645,34288,36412,52123,52233,70107,77606,31106,67278,24235,39652,21854,39687,14547,30006,5725,21659,429,5082,5,0,6,0,5,0
2020-11,경부선,257,군포,59,5,5469,1768,8418,7211,17160,26516,16970,44574,8866,8531,6630,4595,6414,4421,6826,5319,6572,5677,6123,5322,6556,6051,7937,7327,19413,11013,33911,13276,11728,12688,9195,7547,7488,6886,3726,5399,1240,3726,115,577,2,0,1,0,0,0
2020-11,경부선,258,의왕,156,1,5932,1606,11885,6865,29358,22781,28922,24490,13003,9384,9560,6442,9332,6626,10332,7276,9928,8579,9311,7775,10028,9407,13409,11860,22041,16167,21287,26102,10483,22253,7812,13946,6019,12057,3589,9775,1586,6488,98,1256,0,0,0,0,0,0
2020-11,경부선,259,성균관대,180,6,7982,1797,24246,4951,60515,9240,51099,24353,23227,16590,16284,12531,15526,12551,17494,12593,17674,17547,15440,14863,16507,17093,21592,20547,26080,31354,24799,53274,13641,48670,11513,27381,11255,24460,9471,19916,3881,13076,223,2502,4,0,1,0,1,0
2020-11,경부선,260,화서,352,2,6159,1709,17116,5620,35794,4556,26790,8658,11658,5621,8564,4705,8009,5060,7786,5100,7700,6871,6621,6674,7140,7693,9546,8801,10855,17731,8867,28043,4957,24255,3632,13234,3297,11817,2890,9394,774,6278,65,1291,0,0,1,0,0,0
2020-11,경부선,261,수원,2146,32,17994,6614,30016,26262,64933,47010,59661,68446,37930,62693,33934,50164,39382,52225,44489,59239,46117,62120,48027,59981,56955,59014,72984,67251,82414,83923,89397,107031,69170,85337,72521,47045,54055,38163,43497,28563,16787,19452,419,5028,3,0,12,0,2,0
2020-11,경부선,262,독산,508,2,6820,2807,14928,13134,36668,37229,35974,92430,19263,42702,14038,16107,13403,10790,15230,12801,14541,12797,13964,12016,15604,13669,23303,16619,46689,22794,68959,37706,31386,31076,16712,16899,13323,18005,8014,13958,2309,7954,56,636,1,0,6,0,2,0
2020-11,경부선,263,세류,410,8,3283,765,6657,2758,13237,3787,9380,4320,4537,2559,3607,2278,3292,2682,3265,2564,3434,2868,2898,2875,3344,3102,4212,4590,5330,6297,5696,9544,3230,9102,2596,5563,2003,4840,1220,3979,404,2235,9,827,0,0,0,0,0,0
2020-11,경부선,264,병점,2670,28,6706,3200,20592,9857,45126,19765,34507,22773,21247,13152,17001,10151,16758,11350,17985,12915,16472,13713,15328,14924,17187,16377,22268,21560,29721,28831,30972,41425,16375,39001,11926,25683,10088,21360,7349,18181,2240,11977,27,5923,3,0,0,0,0,0
2020-11,경부선,265,세마,271,4,1706,436,4582,1528,8864,2807,6890,6375,5032,1889,3393,1659,2917,1910,3192,1909,3405,2426,2821,2528,2911,2043,3878,3523,4603,4598,5527,6969,2353,6437,1678,4446,1578,3947,885,3241,411,1832,23,151,0,0,0,0,0,0
2020-11,경부선,266,오산대,123,0,2449,429,5408,1899,9845,3345,7364,7530,5124,3349,3679,3169,3516,3371,3701,3051,4276,4547,4170,3679,4741,2712,6029,4242,6116,6106,7217,8871,3324,7772,2692,4669,2578,4453,1589,3178,813,2165,54,120,0,0,0,0,0,0
2020-11,경부선,267,오산,321,0,6177,1245,12862,8675,20351,21621,19843,20030,14321,12624,12678,8664,13039,8293,15148,10673,13015,12300,13010,11617,13569,14233,17359,16368,24223,21128,25621,24886,14436,22180,11182,15965,8158,13158,5073,8725,1898,5860,92,381,3,0,2,0,0,0
2020-11,경부선,268,진위,10,0,607,263,1478,2211,2608,6558,2199,7028,1678,1367,1198,1129,1183,970,1520,967,1470,1192,1555,973,2097,1100,2823,1404,5879,1731,7656,2455,2970,2176,1760,1175,1169,1368,657,1337,182,626,10,48,1,0,0,0,0,0
2020-11,경부선,269,송탄,63,4,6159,782,7459,3010,12272,4854,9136,7352,7330,3945,5949,3406,6453,3898,6817,4463,6649,4790,5780,5167,6391,6280,7721,6795,8243,9902,9060,10617,5261,12142,3893,8230,3199,8494,2064,7116,877,4110,66,434,0,0,0,0,0,0
2020-11,경부선,270,서정리,23,1,2767,7120,7742,6317,11786,11514,10386,15885,7708,9544,7392,6065,7985,5568,9837,8652,8688,8541,8875,6712,10850,6917,15452,10911,22085,12286,18346,11647,9751,14347,7230,9097,5296,8402,2640,7102,843,4990,27,509,0,0,1,0,1,0
2020-11,경부선,271,지제,12,2,842,2392,2299,6404,6429,8172,4860,6096,2801,2900,2501,1818,2689,2465,3693,2368,2421,2510,3081,2517,4224,3326,5086,3337,9604,3471,7915,5999,5254,4470,2940,3506,3315,2783,2313,2612,962,1508,3,53,0,0,0,0,0,0
2020-11,경부선,272,평택,100,2,6883,2332,12425,7607,24111,14777,21866,20690,17791,17803,15686,13365,15744,16859,17261,17251,18027,19231,17721,19633,18898,20398,23488,24152,28280,28877,26569,33259,18897,23588,18055,18473,12729,13547,9434,10368,4306,6771,28,1432,1,0,1,0,2,0
2020-11,경부선,273,성환,24,1,1505,554,2634,1746,5258,9245,4871,12443,4267,6926,4181,3815,4625,4606,5743,6567,7076,6312,6170,5067,6398,4391,8987,5318,13820,6028,10754,6507,4627,4941,3937,4156,2693,4423,1368,3536,495,2900,49,735,0,0,0,0,0,0
2020-11,경부선,274,직산,17,1,485,278,1118,654,1565,2025,1053,2729,958,776,956,763,842,737,987,854,804,932,904,738,1095,708,1062,1034,2073,1233,2311,1340,889,1470,633,791,520,799,391,646,161,548,10,117,0,0,0,0,0,0
2020-11,경부선,275,두정,1094,3,3764,722,7625,2375,11762,6222,10252,9269,6897,8806,6484,5578,6778,6972,7022,8223,7887,8149,7796,7119,8457,6884,9512,8173,12306,10128,12118,14320,7047,11017,5188,10024,4456,6998,3347,6273,1612,4984,34,1228,0,0,0,0,0,0
2020-11,경부선,276,천안,1358,5,2473,638,4494,3663,8325,4779,6977,8604,7263,8378,7277,8370,8395,9238,8140,8813,9079,10566,9813,8365,11438,11166,12280,9788,12085,11551,11913,12241,7886,9205,5847,8018,4700,4199,2690,3888,1261,2384,7,1470,1,0,0,0,0,0
2020-11,경부선,277,당정,11,1,3079,948,9746,3183,23611,7962,21384,15542,10862,5324,7652,3749,7330,4091,8016,4920,7320,5488,6343,5186,6656,6649,7720,8392,11175,11635,14281,17107,6071,18919,4658,10960,3551,9863,2837,8101,996,5845,81,1144,1,0,0,0,0,0
2020-11,경부선,278,서동탄,0,0,1273,7,4622,661,10116,1519,4528,1781,1919,895,1584,662,1621,832,1466,1216,1369,1115,1371,1220,1627,1786,1807,1946,1997,2800,2453,4518,1022,5112,762,3033,508,1953,432,1978,98,1452,10,1029,0,0,0,0,0,0
2020-11,경부선,279,광명,0,0,5,2174,2472,3439,12277,4052,10005,3377,5547,3708,979,2583,3608,1713,4538,2348,3183,2134,3119,4525,3762,3115,10349,3313,1806,5003,7190,10872,7188,6848,1333,3684,4597,2596,1896,4177,407,27,0,1,0,0,0,0,0,0
2020-11,경인선,293,개봉,1222,15,17869,6093,33545,11244,89931,15308,83703,23408,47405,17790,32155,15336,27288,17186,29007,21745,27697,21274,24634,24900,23632,30415,27160,36617,29340,59421,28587,91649,16801,68927,13149,39641,11221,36590,7965,28561,3241,15917,115,2700,1,0,0,0,0,0
2020-11,경인선,294,오류동,571,6,11531,2060,17175,4850,48749,5754,50200,11218,25049,9494,17467,9483,14803,9167,17909,11188,16014,11424,13306,13205,13039,15841,14398,18141,14956,25515,14157,43214,8322,36266,6418,21650,5703,19754,4202,15363,1589,9075,113,1735,1,0,0,0,0,0
2020-11,경인선,295,역곡,905,21,25904,3900,42863,10659,117548,12622,114686,29987,57524,26701,35975,21805,32711,24064,35851,27101,32997,28714,29670,30193,30673,33146,34484,46465,37216,64561,35163,107880,21576,93531,17783,51827,15362,47171,12870,39031,5355,23023,370,3170,2,1,0,0,0,0
2020-11,경인선,296,부천,2619,13,34940,4863,41981,12079,101603,18453,102623,42962,56431,39112,39964,33050,40294,34024,44030,42734,43790,47267,42438,47421,44508,48363,50121,57305,54205,80633,55038,118335,36263,102006,30656,53776,31488,49848,25684,37248,11306,25735,764,4607,2,0,2,0,1,0
2020-11,경인선,297,송내,1365,4,15289,7934,35046,16011,106829,29559,88675,79038,46566,41079,32079,21644,32358,20500,33988,22480,30617,26184,27827,25944,29328,28231,35430,36180,45351,53132,71240,88337,31405,82759,22576,44818,19197,40415,14125,33223,6038,19881,906,4296,0,0,1,0,0,0
2020-11,경인선,298,부평,8150,72,21526,5155,33378,11236,81151,18441,78011,32333,40932,37058,33592,29813,34719,34959,38044,41058,38265,48449,38025,48102,41532,51034,48457,61035,54670,76212,51930,119374,38819,94867,37355,52587,37719,43587,30831,34402,15435,21894,2472,6044,0,1,0,0,0,0
2020-11,경인선,299,백운,86,1,6910,1727,12863,3426,27481,4229,25248,9843,13947,6792,10524,5236,9833,6042,10445,7762,9335,8078,8486,7970,8276,10100,9546,12022,11377,15783,9787,24048,5009,22188,3851,13364,3825,11734,2330,9800,1082,6519,116,1727,0,0,0,0,0,0
2020-11,경인선,300,동암,556,4,20049,5072,28214,10562,52544,13189,50648,17380,30324,12987,21895,12615,19978,13658,21100,15501,20368,17014,17896,16778,17310,21847,21652,25572,24644,38055,22624,51922,14132,47100,10984,30426,10031,26816,6867,21761,3197,14140,274,3362,0,0,0,0,0,0
2020-11,경인선,301,주안,954,8,12671,3802,24277,8493,60185,17624,51978,29772,30986,21376,22695,15441,23725,14789,26711,19084,26796,18630,23844,20274,26020,20991,29130,26459,36941,37013,37482,51179,20802,56371,18607,31543,16498,27586,13088,22565,6132,15675,575,4198,1,0,0,0,0,0
2020-11,경인선,302,제물포,802,3,7061,1583,12725,4797,34948,11593,30630,27891,16689,14491,12739,8949,12902,7993,14036,10042,13481,11549,12545,10114,14493,10673,20551,14260,20192,19219,22966,25368,9682,26717,7021,15995,5277,14469,3573,12095,1612,9082,81,2545,0,0,0,0,0,0
2020-11,경인선,303,동인천,1571,3,7103,3188,14581,12002,37907,21138,30324,31345,18548,14923,15922,14347,17721,16540,19463,17286,19441,18299,19443,17646,21796,17850,27306,21201,34730,23256,36247,29737,16481,33185,12551,19228,9421,14706,5895,13491,2269,9295,14,2971,0,0,0,0,0,0
2020-11,경인선,304,인천,207,1,1386,1005,2526,2978,5207,5126,4596,7571,2773,3842,2729,4284,3625,6436,5147,6854,6130,6342,7777,6198,8752,5324,10689,4141,11918,3471,10887,2961,4974,2196,3771,1809,2705,1528,1362,1278,457,705,5,738,0,1,0,0,0,0
