사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-11,공항철도 1호선,640,서울역,179671,168781,25547,23340
2020-11,공항철도 1호선,641,공덕,49398,65770,5870,6924
2020-11,공항철도 1호선,642,홍대입구,221472,228513,14031,13211
2020-11,공항철도 1호선,643,디지털미디어시티,313729,280132,19303,18019
2020-11,공항철도 1호선,644,마곡나루(서울식물원),173255,166982,9365,9389
2020-11,공항철도 1호선,645,김포공항,301497,169301,19268,12768
2020-11,공항철도 1호선,646,계양,224614,203478,21145,19732
2020-11,공항철도 1호선,647,검암,171428,167354,14965,15013
2020-11,공항철도 1호선,648,청라국제도시,155921,145232,9657,9350
2020-11,공항철도 1호선,649,운서,140498,141136,20041,19954
2020-11,공항철도 1호선,650,공항화물청사,49292,54321,7449,7305
2020-11,공항철도 1호선,651,인천공항1터미널,79751,83128,10789,11019
2020-11,공항철도 1호선,652,인천공항2터미널,44508,42024,4728,4273
2020-11,공항철도 1호선,653,영종,61730,62265,14928,15090
2020-11,9호선2~3단계,627,언주,218032,221298,21553,21398
2020-11,9호선2~3단계,628,선정릉,210115,229261,19404,20185
2020-11,9호선2~3단계,629,삼성중앙,143178,150253,18118,18050
2020-11,9호선2~3단계,630,봉은사,373290,381820,34311,32396
2020-11,9호선2~3단계,631,종합운동장,91193,88138,13891,12970
2020-11,9호선2~3단계,632,삼전,137622,132871,27543,26662
2020-11,9호선2~3단계,633,석촌고분,117929,114803,25373,25266
2020-11,9호선2~3단계,634,석촌,176374,152724,25458,22079
2020-11,9호선2~3단계,635,송파나루,94348,98044,19923,20048
2020-11,9호선2~3단계,636,한성백제,50368,45259,12249,11083
2020-11,9호선2~3단계,637,올림픽공원(한국체대),135083,134970,19032,19270
2020-11,9호선2~3단계,638,둔촌오륜,22658,19706,4711,4820
2020-11,9호선2~3단계,639,중앙보훈병원,172530,146358,61586,61149
2020-11,우이신설선,697,북한산우이,48627,42309,28594,29574
2020-11,우이신설선,698,솔밭공원,38245,35099,22966,23877
2020-11,우이신설선,699,4.19민주묘지,47094,46851,28318,25855
2020-11,우이신설선,700,가오리,64978,61576,37677,38992
2020-11,우이신설선,701,화계,51573,45644,33451,34214
2020-11,우이신설선,702,삼양,29234,29822,23389,25257
2020-11,우이신설선,703,삼양사거리,32460,32732,29821,30429
2020-11,우이신설선,704,솔샘,113195,101260,30941,31595
2020-11,우이신설선,705,북한산보국문,118264,108174,35315,36224
2020-11,우이신설선,706,정릉,78632,71501,37765,36012
2020-11,우이신설선,707,성신여대입구(돈암),57101,67600,23938,23173
2020-11,우이신설선,708,보문,26362,26408,12808,13063
2020-11,우이신설선,709,신설동,34911,36311,22695,19995
